transliteration,translation
Aṣal-Iau I,nan
Aṣe I,nan
Aṣušu-namir I,nan
BUNIR I,nan
Bab-Aššur I,nan
Bab-Barsip I,nan
Bab-Marrat I,nan
Bab-Saggil I,nan
Bab-bitqi I,nan
Bab-erkalli I,nan
Bab-tinurayu I,nan
Baba I,nan
Babanu I,nan
Babaya I,nan
Babilaya I,nan
Babilayu I,nan
Babili I,nan
Babilu I,nan
Babiri I,nan
Babiti I,nan
Babu I,nan
Babu II,nan
Babu-ahhe-iddina I,nan
Babu-gamilat I,nan
Babutaya I,nan
Babutu I,nan
Bada I,nan
Badaya I,nan
Baddudu I,nan
Badia I,nan
Badtibira I,nan
Baga-parna I,nan
Bagagi I,nan
Bagusu I,nan
Bahi I,nan
Bahianu I,nan
Balasi I,nan
Balassu I,nan
Balaṭaya I,nan
Balaṭi I,nan
Balaṭsu I,nan
Balaṭu I,nan
Balaṭu-ereš I,nan
Balaṭu-iqbi I,nan
Baldahdah I,nan
Balihu I,nan
Balti-lešir I,nan
Baltil I,nan
Balṭayu I,nan
Balṭi-Aia I,nan
Balṭi-Aya I,nan
Balṭi-iqbi I,nan
Bamba I,nan
Ban-Ammanaya I,nan
Banaya I,nan
Banba I,nan
Bani I,nan
Bani-Anu I,nan
Bani-ahhe I,nan
Bani-ahuʾa I,nan
Baniti I,nan
Banitu I,nan
Banitu-ereš I,nan
Banitu-tereš I,nan
Banunu I,nan
Baqarru I,nan
Bar-ahati I,nan
Bar-ahu I,nan
Bar-napi I,nan
Bar-uri I,nan
Bar-zaqe I,nan
Bar-zikutu I,nan
Bar-Ṣaruri I,nan
Baramah I,nan
Barbarra I,nan
Barbaru I,nan
Bardi I,nan
Barhalza I,nan
Barhalzaya I,nan
Barhaza I,nan
Barik-il I,nan
Bariku I,nan
Bariritu I,nan
Barmu I,nan
Barruqu I,nan
Barsip I,nan
Barsipaya I,nan
Barsipitu I,nan
Barsipitu II,nan
Baruri I,nan
Barzaništa I,nan
Basali I,nan
Basani I,nan
Basasu I,nan
Basia I,nan
Bassi I,nan
Bassiya I,nan
Bassuʾa I,nan
Batiti I,nan
Batulu I,nan
Batuʾa I,nan
Bau I,nan
Bauya I,nan
Bayaya I,nan
Bazi I,nan
Baziya I,nan
Bazuzu I,nan
Baštu I,nan
Baššaša I,nan
Baʾal-azuri I,nan
Baʾal-rakkab I,nan
Baʾal-suri I,nan
Baʾala-imme I,nan
Baʾalti-idri I,nan
Baʾalti-yabatu I,nan
Baʾassi I,nan
Baʾli I,nan
Baṭṭuṭanu I,nan
Beltu I,nan
Beltu-ša-Reš I,nan
Beltu-ša-Uruk I,nan
Belu-labiru I,nan
Belu-lu-balaṭ I,nan
Belu-lu-dari I,nan
Belu-naṣir I,nan
Belu-ukin I,nan
Binitu I,nan
Birataya I,nan
Birate I,nan
Birtu I,nan
Bit-Abdadani I,nan
Bit-Adad I,nan
Bit-Adad-ša-zunni I,nan
Bit-Adini I,nan
Bit-Amukannaya I,nan
Bit-Amukanni I,nan
Bit-Arrabi I,nan
Bit-Aššur I,nan
Bit-Barru I,nan
Bit-Bunakki I,nan
Bit-Dagan I,nan
Bit-Dagan II,nan
Bit-Dakkuri I,nan
Bit-Dakkuri II,nan
Bit-Deraya I,nan
Bit-Gula I,nan
Bit-Hamban I,nan
Bit-Haʾir I,nan
Bit-Haʾiraya I,nan
Bit-Hurapi I,nan
Bit-Imbi I,nan
Bit-Imbiya I,nan
Bit-Ištar I,nan
Bit-Kapsi I,nan
Bit-Kapsiaya I,nan
Bit-Kidmuri I,nan
Bit-Kura I,nan
Bit-Kuti I,nan
Bit-Kuti II,nan
Bit-Marduk I,nan
Bit-Nabu I,nan
Bit-Nergal I,nan
Bit-Nikkal I,nan
Bit-Ninurta I,nan
Bit-Parasi-ili I,nan
Bit-Purutaš I,nan
Bit-Ramannu I,nan
Bit-Sibitti I,nan
Bit-Sin I,nan
Bit-Sin-ibni I,nan
Bit-Tammeš-šamaʾ I,nan
Bit-Unqiaya I,nan
Bit-Uqata I,nan
Bit-Yakin I,nan
Bit-Zabidaya I,nan
Bit-Zabidi I,nan
Bit-Zamani I,nan
Bit-Zualza I,nan
Bit-abi-ilaya I,nan
Bit-abi-ilaʾi I,nan
Bit-balaṭi I,nan
Bit-hare I,nan
Bit-kari I,nan
Bit-kunukki-bissu I,nan
Bit-reš I,nan
Bit-reʾi I,nan
Bit-Šamaš I,nan
Bit-Šamaš II,nan
Bit-Šelebuna I,nan
Bit-Šilanu I,nan
Bit-ša-muhhi-ali I,nan
Bita I,nan
Bitati I,nan
Bišu I,nan
Buadi-Iau I,nan
Bube I,nan
Bubilu I,nan
Bubutu I,nan
Budanuše I,nan
Budi-Baʾal I,nan
Bulalu I,nan
Bullussa-rabi I,nan
Bulluṭa I,nan
Bulluṭu I,nan
Bunene I,nan
Bur-Sagale I,nan
Bur-Sila I,nan
Bur-šarri I,nan
Buranun I,nan
Buraqa I,nan
Burati I,nan
Bure I,nan
Burqayu I,nan
Burrim I,nan
Burtayu I,nan
Burte I,nan
Buru I,nan
Buru-abu-uṣur I,nan
Buru-naṣaba I,nan
Burukutunte I,nan
Burunatu I,nan
Buruqu I,nan
Busi-ili I,nan
Busuku I,nan
Bususaya I,nan
Bususu I,nan
Buʾšaya I,nan
DAKsû I,nan
Dada I,nan
Dadaya I,nan
Dadmuš I,nan
Dadu I,nan
Dadunu I,nan
Dadusu I,nan
Daluwa I,nan
Damu I,nan
Damunaya I,nan
Dananu I,nan
Dannina I,nan
Dannu-Nergal I,nan
Danuni I,nan
Dapinu I,nan
Darataya I,nan
Darati I,nan
Darura I,nan
Dasukku I,nan
Dayyanu I,nan
Dayyanu II,nan
Dayyanu-Adad I,nan
Deru I,nan
Dikud I,nan
Dikudanki I,nan
Dikudsisa I,nan
Dinanu I,nan
Duduʾa I,nan
Dummuqa I,nan
Dummuqu I,nan
Dunnu I,nan
Dunnu-sa'idu I,nan
Duru I,nan
Duru-ša-Yakin I,nan
Duruna I,nan
Dususu I,nan
E'UDtaš I,nan
E'eanki I,nan
E'emuša I,nan
E'engura I,nan
E'ezensagusa I,nan
E'udgalgal I,nan
E'uršaba I,nan
EKAkuga I,nan
Ea I,nan
Ea-kurbanni I,nan
Ea-šarru I,nan
Ea-šarru-ibni I,nan
Eakkil I,nan
Eana I,nan
Ebabbara I,nan
Ebaradurgara I,nan
Eber-nari I,nan
Ebih I,nan
Ebissi-šarri I,nan
Eburšušua I,nan
Edadaglal I,nan
Edasu I,nan
Edaya I,nan
Edi-ilu I,nan
Edimgalanna I,nan
Edimgalkalama I,nan
Edu-lešir I,nan
Edu-qidira I,nan
Edu-šallim I,nan
Eduba I,nan
Edublamah I,nan
Edumununa I,nan
Egainunšaršar I,nan
EgalIM I,nan
Egalgina I,nan
Egallammalugal I,nan
Egalmah I,nan
Egalriri I,nan
Egašantinna I,nan
Egida I,nan
Egidimdim I,nan
Egigar I,nan
Egiguna I,nan
Eginuna I,nan
Egipar I,nan
Egipariminbi I,nan
Egissubidugga I,nan
Egubiduga I,nan
Egula I,nan
Ehalanki I,nan
Ehe I,nan
Ehenuna I,nan
Ehili-Inanna I,nan
Ehiliana I,nan
Ehilidiriga I,nan
Ehilikuga I,nan
Ehimannaya I,nan
Ehiya I,nan
Ehiye I,nan
Ehuba I,nan
Ehursagkalama I,nan
Eibianum I,nan
Eigihuša I,nan
Eigikalamma I,nan
Ekallati I,nan
Ekallitu I,nan
Ekašbar I,nan
Ekid I,nan
Ekinašatenna I,nan
Ekisiga I,nan
Ekitušgirzal I,nan
Ekiur I,nan
Ekišnugal I,nan
Ekur I,nan
Ekur-dumununa I,nan
Ekur-igigal I,nan
Ekur-zakir I,nan
Ekurkuru I,nan
Ekurnizu I,nan
Elam I,nan
Elamattu I,nan
Elamaya I,nan
Elamtu I,nan
Elamu I,nan
Elila I,nan
Elizki I,nan
Elizzada I,nan
Ellil-belšunu I,nan
Ellil-ibni I,nan
Ellil-kaṣir I,nan
Ellil-šum-imbi I,nan
Ellilbanda I,nan
Ellipaya I,nan
Ellipi I,nan
Elulu I,nan
Emah I,nan
Emahtila I,nan
Emeda I,nan
Emekiliburur I,nan
Emelamana I,nan
Emeslam I,nan
Emeteursag I,nan
Emutbal I,nan
EnLU I,nan
Enambizida I,nan
Enamena I,nan
Enamhe I,nan
Enammah I,nan
Enamtila I,nan
Enamzu I,nan
Enanun I,nan
Enati I,nan
Enbiluh I,nan
Enbiluha I,nan
Enbilulu I,nan
Enbule I,nan
Enbuluga I,nan
Endašurimma I,nan
Endukuga I,nan
Enganu I,nan
Engar I,nan
Engidudu I,nan
Engur I,nan
Eni-il I,nan
Enidimanki I,nan
Enigalapsu I,nan
Enigalapsubianus I,nan
Eninnu I,nan
Enir I,nan
Enirmah I,nan
Enitendu I,nan
Enki I,nan
Enki II,nan
Enkidu I,nan
Enkimdu I,nan
Enkišar I,nan
Enku I,nan
Enkum I,nan
Enkummu I,nan
Enlil-ban-kudurri I,nan
Enlilbanda I,nan
Enlilzi I,nan
Enmebuluŋa I,nan
Enmeduga I,nan
Enmeduranki I,nan
Enmegalama I,nan
Enmekar I,nan
Enmelulu I,nan
Enmeurana I,nan
